Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,99.370003,99.580002,98.199997,98.529999,404600,82.564539
2008-12-30,99.230003,99.639999,99.099998,99.629997,201300,83.486297
2008-12-29,99.449997,99.919998,99.379997,99.489998,211900,83.368983
2008-12-26,99.510002,99.639999,99.199997,99.639999,181100,83.18547
2008-12-24,99.160004,99.440002,99.050003,99.110001,129200,82.742995
2008-12-23,99.099998,99.550003,99.00,99.209999,324500,82.82648
2008-12-22,99.559998,99.720001,99.150002,99.260002,804200,82.868226
2008-12-19,99.440002,99.989998,99.440002,99.519997,598000,83.085285
2008-12-18,99.949997,100.309998,99.669998,99.849998,477700,83.36079
2008-12-17,99.779999,100.019997,99.010002,99.18,667900,82.801435
2008-12-16,98.510002,98.629997,96.639999,98.510002,406000,82.242081
2008-12-15,96.839996,97.239998,96.709999,96.970001,328900,80.956395
2008-12-12,96.480003,96.769997,95.489998,96.760002,281300,80.781075
2008-12-11,96.040001,96.559998,95.629997,96.489998,327500,80.555659
2008-12-10,95.489998,95.910004,95.279999,95.910004,737000,80.071445
2008-12-09,95.379997,96.209999,95.07,96.00,1421700,80.14658
2008-12-08,95.50,95.709999,95.07,95.190002,523400,79.470345
2008-12-05,96.25,96.660004,95.419998,95.550003,557500,79.770895
2008-12-04,96.169998,96.790001,95.870003,96.57,443800,80.62245
2008-12-03,95.769997,96.120003,95.199997,95.970001,352200,80.121535
2008-12-02,95.260002,95.870003,95.169998,95.82,278300,79.996305
2008-12-01,95.050003,96.080002,94.639999,95.32,663900,79.578875
2008-11-28,94.050003,94.519997,94.010002,94.360001,134000,78.516094
2008-11-26,93.730003,94.239998,93.690002,94.169998,483400,78.357994
2008-11-25,93.209999,95.699997,92.849998,93.599998,411600,77.883703
2008-11-24,92.519997,92.599998,91.709999,92.019997,611600,76.568998
2008-11-21,92.739998,93.120003,92.43,92.889999,791300,77.292919
2008-11-20,93.110001,93.75,92.610001,93.75,727900,78.008518
2008-11-19,91.300003,92.050003,91.089996,91.900002,432400,76.469151
2008-11-18,90.599998,91.150002,90.419998,90.919998,543600,75.653699
2008-11-17,89.849998,90.300003,89.800003,90.220001,473100,75.071238
2008-11-14,89.730003,90.059998,89.529999,89.839996,324100,74.755039
2008-11-13,89.489998,89.949997,88.879997,88.959999,300500,74.022802
2008-11-12,89.279999,89.75,89.25,89.610001,266900,74.563662
2008-11-11,88.720001,89.370003,88.720001,89.059998,130100,74.106009
2008-11-10,88.540001,88.970001,88.290001,88.730003,205400,73.831424
2008-11-07,88.730003,88.849998,88.440002,88.639999,212300,73.756533
2008-11-06,88.800003,89.169998,88.50,88.959999,173000,74.022802
2008-11-05,88.779999,89.230003,88.669998,89.230003,286500,74.24747
2008-11-04,87.739998,88.879997,87.739998,88.760002,269700,73.856386
2008-11-03,87.699997,87.849998,87.389999,87.709999,1942300,72.982688
2008-10-31,88.43,88.730003,87.589996,87.889999,264100,72.8662
2008-10-30,88.059998,88.309998,87.830002,88.07,406300,73.015431
2008-10-29,88.690002,89.040001,88.32,88.75,255400,73.579193
2008-10-28,88.900002,89.330002,88.309998,88.620003,278100,73.471417
2008-10-27,89.459999,89.68,88.910004,89.339996,213700,74.068336
2008-10-24,90.400002,90.400002,89.169998,89.389999,1924600,74.109792
2008-10-23,89.910004,90.150002,89.290001,89.769997,330000,74.424833
2008-10-22,89.110001,89.650002,89.059998,89.650002,347700,74.325349
2008-10-21,88.589996,89.129997,88.18,88.970001,225500,73.761587
2008-10-20,87.489998,88.099998,87.290001,88.040001,315900,72.99056
2008-10-17,87.900002,87.949997,86.940002,87.949997,445800,72.915941
2008-10-16,87.110001,87.589996,87.050003,87.400002,330400,72.459961
2008-10-15,86.660004,87.379997,86.589996,87.379997,247200,72.443377
2008-10-14,87.050003,87.400002,86.620003,86.669998,736700,71.854744
2008-10-13,87.260002,87.760002,86.870003,87.080002,478400,72.194662
2008-10-10,88.449997,88.449997,87.410004,87.68,1154600,72.692098
2008-10-09,88.669998,88.790001,88.239998,88.720001,577200,73.554322
2008-10-08,91.07,91.230003,88.510002,89.620003,869200,74.300479
2008-10-07,90.440002,91.050003,90.269997,90.779999,825400,75.262186
